id,mpg,cylinders,edispl,horsepower,weight,accelerate,year
123,15,8,350,145,4082,13,1973
124,16,8,400,230,4278,9.5,1973
125,29,4,68,49,1867,19.5,1973
126,24,4,116,75,2158,15.5,1973
127,20,4,114,91,2582,14,1973
128,19,4,121,112,2868,15.5,1973
129,15,8,318,150,3399,11,1973
130,24,4,121,110,2660,14,1973
131,20,6,156,122,2807,13.5,1973
132,11,8,350,180,3664,11,1973
133,20,6,198,95,3102,16.5,1974
134,21,6,200,null,2875,17,1974
135,19,6,232,100,2901,16,1974
136,15,6,250,100,3336,17,1974
137,31,4,79,67,1950,19,1974
138,26,4,122,80,2451,16.5,1974
139,32,4,71,65,1836,21,1974
140,25,4,140,75,2542,17,1974
141,16,6,250,100,3781,17,1974
142,16,6,258,110,3632,18,1974
143,18,6,225,105,3613,16.5,1974
144,16,8,302,140,4141,14,1974
145,13,8,350,150,4699,14.5,1974
146,14,8,318,150,4457,13.5,1974
147,14,8,302,140,4638,16,1974
148,14,8,304,150,4257,15.5,1974
149,29,4,98,83,2219,16.5,1974
150,26,4,79,67,1963,15.5,1974
151,26,4,97,78,2300,14.5,1974
152,31,4,76,52,1649,16.5,1974
153,32,4,83,61,2003,19,1974
154,28,4,90,75,2125,14.5,1974
155,24,4,90,75,2108,15.5,1974
156,26,4,116,75,2246,14,1974
157,24,4,120,97,2489,15,1974
158,26,4,108,93,2391,15.5,1974
159,31,4,79,67,2000,16,1974
160,19,6,225,95,3264,16,1975
161,18,6,250,105,3459,16,1975
162,15,6,250,72,3432,21,1975
163,15,6,250,72,3158,19.5,1975
164,16,8,400,170,4668,11.5,1975
165,15,8,350,145,4440,14,1975
166,16,8,318,150,4498,14.5,1975
167,14,8,351,148,4657,13.5,1975
168,17,6,231,110,3907,21,1975
169,16,6,250,105,3897,18.5,1975
170,15,6,258,110,3730,19,1975
171,18,6,225,95,3785,19,1975
172,21,6,231,110,3039,15,1975
173,20,8,262,110,3221,13.5,1975
174,13,8,302,129,3169,12,1975
175,29,4,97,75,2171,16,1975
176,23,4,140,83,2639,17,1975
177,20,6,232,100,2914,16,1975
178,23,4,140,78,2592,18.5,1975
179,24,4,134,96,2702,13.5,1975
180,25,4,90,71,2223,16.5,1975
181,24,4,119,97,2545,17,1975
182,18,6,171,97,2984,14.5,1975
183,29,4,90,70,1937,14,1975
184,19,6,232,90,3211,17,1975
185,23,4,115,95,2694,15,1975
186,23,4,120,88,2957,17,1975
187,22,4,121,98,2945,14.5,1975
188,25,4,121,115,2671,13.5,1975
189,33,4,91,53,1795,17.5,1975
190,28,4,107,86,2464,15.5,1976
191,25,4,116,81,2220,16.9,1976
192,25,4,140,92,2572,14.9,1976
193,26,4,98,79,2255,17.7,1976
194,27,4,101,83,2202,15.3,1976
195,17.5,8,305,140,4215,13,1976
196,16,8,318,150,4190,13,1976
197,15.5,8,304,120,3962,13.9,1976
198,14.5,8,351,152,4215,12.8,1976
199,22,6,225,100,3233,15.4,1976
200,22,6,250,105,3353,14.5,1976
201,24,6,200,81,3012,17.6,1976
202,22.5,6,232,90,3085,17.6,1976
203,29,4,85,52,2035,22.2,1976
204,24.5,4,98,60,2164,22.1,1976
205,29,4,90,70,1937,14.2,1976
206,33,4,91,53,1795,17.4,1976
207,20,6,225,100,3651,17.7,1976
208,18,6,250,78,3574,21,1976
209,18.5,6,250,110,3645,16.2,1976
210,17.5,6,258,95,3193,17.8,1976
211,29.5,4,97,71,1825,12.2,1976
212,32,4,85,70,1990,17,1976
213,28,4,97,75,2155,16.4,1976
214,26.5,4,140,72,2565,13.6,1976
215,20,4,130,102,3150,15.7,1976
216,13,8,318,150,3940,13.2,1976
217,19,4,120,88,3270,21.9,1976
218,19,6,156,108,2930,15.5,1976
219,16.5,6,168,120,3820,16.7,1976
220,16.5,8,350,180,4380,12.1,1976
221,13,8,350,145,4055,12,1976
222,13,8,302,130,3870,15,1976
223,13,8,318,150,3755,14,1976
224,31.5,4,98,68,2045,18.5,1977
225,30,4,111,80,2155,14.8,1977
226,36,4,79,58,1825,18.6,1977
227,25.5,4,122,96,2300,15.5,1977
228,33.5,4,85,70,1945,16.8,1977
229,17.5,8,305,145,3880,12.5,1977
230,17,8,260,110,4060,19,1977
231,15.5,8,318,145,4140,13.7,1977
232,15,8,302,130,4295,14.9,1977
233,17.5,6,250,110,3520,16.4,1977
234,20.5,6,231,105,3425,16.9,1977
235,19,6,225,100,3630,17.7,1977
236,18.5,6,250,98,3525,19,1977
237,16,8,400,180,4220,11.1,1977
238,15.5,8,350,170,4165,11.4,1977
239,15.5,8,400,190,4325,12.2,1977
240,16,8,351,149,4335,14.5,1977
241,29,4,97,78,1940,14.5,1977
242,24.5,4,151,88,2740,16,1977
243,26,4,97,75,2265,18.2,1977
244,25.5,4,140,89,2755,15.8,1977
245,30.5,4,98,63,2051,17,1977
246,33.5,4,98,83,2075,15.9,1977
247,30,4,97,67,1985,16.4,1977
248,30.5,4,97,78,2190,14.1,1977
249,22,6,146,97,2815,14.5,1977
250,21.5,4,121,110,2600,12.8,1977
251,21.5,3,80,110,2720,13.5,1977
252,43.1,4,90,48,1985,21.5,1978
253,36.1,4,98,66,1800,14.4,1978
254,32.8,4,78,52,1985,19.4,1978
255,39.4,4,85,70,2070,18.6,1978
256,36.1,4,91,60,1800,16.4,1978
257,19.9,8,260,110,3365,15.5,1978
258,19.4,8,318,140,3735,13.2,1978
259,20.2,8,302,139,3570,12.8,1978
260,19.2,6,231,105,3535,19.2,1978
261,20.5,6,200,95,3155,18.2,1978
262,20.2,6,200,85,2965,15.8,1978
263,25.1,4,140,88,2720,15.4,1978
264,20.5,6,225,100,3430,17.2,1978
265,19.4,6,232,90,3210,17.2,1978
266,20.6,6,231,105,3380,15.8,1978
267,20.8,6,200,85,3070,16.7,1978
268,18.6,6,225,110,3620,18.7,1978
269,18.1,6,258,120,3410,15.1,1978
270,19.2,8,305,145,3425,13.2,1978
271,17.7,6,231,165,3445,13.4,1978
272,18.1,8,302,139,3205,11.2,1978
273,17.5,8,318,140,4080,13.7,1978
274,30,4,98,68,2155,16.5,1978
275,27.5,4,134,95,2560,14.2,1978
276,27.2,4,119,97,2300,14.7,1978
277,30.9,4,105,75,2230,14.5,1978
278,21.1,4,134,95,2515,14.8,1978
279,23.2,4,156,105,2745,16.7,1978
280,23.8,4,151,85,2855,17.6,1978
281,23.9,4,119,97,2405,14.9,1978
282,20.3,5,131,103,2830,15.9,1978
283,17,6,163,125,3140,13.6,1978
284,21.6,4,121,115,2795,15.7,1978
285,16.2,6,163,133,3410,15.8,1978
286,31.5,4,89,71,1990,14.9,1978
287,29.5,4,98,68,2135,16.6,1978
288,21.5,6,231,115,3245,15.4,1979
289,19.8,6,200,85,2990,18.2,1979
290,22.3,4,140,88,2890,17.3,1979
291,20.2,6,232,90,3265,18.2,1979
292,20.6,6,225,110,3360,16.6,1979
293,17,8,305,130,3840,15.4,1979
294,17.6,8,302,129,3725,13.4,1979
295,16.5,8,351,138,3955,13.2,1979
296,18.2,8,318,135,3830,15.2,1979
297,16.9,8,350,155,4360,14.9,1979
298,15.5,8,351,142,4054,14.3,1979
299,19.2,8,267,125,3605,15,1979
300,18.5,8,360,150,3940,13,1979
301,31.9,4,89,71,1925,14,1979
302,34.1,4,86,65,1975,15.2,1979
303,35.7,4,98,80,1915,14.4,1979
304,27.4,4,121,80,2670,15,1979
305,25.4,5,183,77,3530,20.1,1979
306,23,8,350,125,3900,17.4,1979
307,27.2,4,141,71,3190,24.8,1979
308,23.9,8,260,90,3420,22.2,1979
309,34.2,4,105,70,2200,13.2,1979
310,34.5,4,105,70,2150,14.9,1979
311,31.8,4,85,65,2020,19.2,1979
312,37.3,4,91,69,2130,14.7,1979
313,28.4,4,151,90,2670,16,1979
314,28.8,6,173,115,2595,11.3,1979
315,26.8,6,173,115,2700,12.9,1979
316,33.5,4,151,90,2556,13.2,1979
317,41.5,4,98,76,2144,14.7,1980
318,38.1,4,89,60,1968,18.8,1980
319,32.1,4,98,70,2120,15.5,1980
320,37.2,4,86,65,2019,16.4,1980
321,28,4,151,90,2678,16.5,1980
322,26.4,4,140,88,2870,18.1,1980
323,24.3,4,151,90,3003,20.1,1980
324,19.1,6,225,90,3381,18.7,1980
325,34.3,4,97,78,2188,15.8,1980
326,29.8,4,134,90,2711,15.5,1980
327,31.3,4,120,75,2542,17.5,1980
328,37,4,119,92,2434,15,1980
329,32.2,4,108,75,2265,15.2,1980
330,46.6,4,86,65,2110,17.9,1980
331,27.9,4,156,105,2800,14.4,1980
332,40.8,4,85,65,2110,19.2,1980
333,44.3,4,90,48,2085,21.7,1980
334,43.4,4,90,48,2335,23.7,1980
335,36.4,5,121,67,2950,19.9,1980
336,30,4,146,67,3250,21.8,1980
337,44.6,4,91,67,1850,13.8,1980
338,40.9,4,85,null,1835,17.3,1980
339,33.8,4,97,67,2145,18,1980
340,29.8,4,89,62,1845,15.3,1980
341,32.7,6,168,132,2910,11.4,1980
342,23.7,3,70,100,2420,12.5,1980
343,35,4,122,88,2500,15.1,1980
344,23.6,4,140,null,2905,14.3,1980
345,32.4,4,107,72,2290,17,1980
346,27.2,4,135,84,2490,15.7,1981
347,26.6,4,151,84,2635,16.4,1981
348,25.8,4,156,92,2620,14.4,1981
349,23.5,6,173,110,2725,12.6,1981
350,30,4,135,84,2385,12.9,1981
351,39.1,4,79,58,1755,16.9,1981
352,39,4,86,64,1875,16.4,1981
353,35.1,4,81,60,1760,16.1,1981
354,32.3,4,97,67,2065,17.8,1981
355,37,4,85,65,1975,19.4,1981
356,37.7,4,89,62,2050,17.3,1981
357,34.1,4,91,68,1985,16,1981
358,34.7,4,105,63,2215,14.9,1981
359,34.4,4,98,65,2045,16.2,1981
360,29.9,4,98,65,2380,20.7,1981
361,33,4,105,74,2190,14.2,1981
362,34.5,4,100,null,2320,15.8,1981
363,33.7,4,107,75,2210,14.4,1981
364,32.4,4,108,75,2350,16.8,1981
365,32.9,4,119,100,2615,14.8,1981
366,31.6,4,120,74,2635,18.3,1981
367,28.1,4,141,80,3230,20.4,1981
368,null,4,121,110,2800,15.4,1981
369,30.7,6,145,76,3160,19.6,1981
370,25.4,6,168,116,2900,12.6,1981
371,24.2,6,146,120,2930,13.8,1981
372,22.4,6,231,110,3415,15.8,1981
373,26.6,8,350,105,3725,19,1981
374,20.2,6,200,88,3060,17.1,1981
375,17.6,6,225,85,3465,16.6,1981
376,28,4,112,88,2605,19.6,1982
377,27,4,112,88,2640,18.6,1982
378,34,4,112,88,2395,18,1982
379,31,4,112,85,2575,16.2,1982
380,29,4,135,84,2525,16,1982
381,27,4,151,90,2735,18,1982
382,24,4,140,92,2865,16.4,1982
383,23,4,151,null,3035,20.5,1982
384,36,4,105,74,1980,15.3,1982
385,37,4,91,68,2025,18.2,1982
386,31,4,91,68,1970,17.6,1982
387,38,4,105,63,2125,14.7,1982
388,36,4,98,70,2125,17.3,1982
389,36,4,120,88,2160,14.5,1982
390,36,4,107,75,2205,14.5,1982
391,34,4,108,70,2245,16.9,1982
392,38,4,91,67,1965,15,1982
393,32,4,91,67,1965,15.7,1982
394,38,4,91,67,1995,16.2,1982
395,25,6,181,110,2945,16.4,1982
396,38,6,262,85,3015,17,1982
397,26,4,156,92,2585,14.5,1982
398,22,6,232,112,2835,14.7,1982
399,32,4,144,96,2665,13.9,1982
400,36,4,135,84,2370,13,1982
401,27,4,151,90,2950,17.3,1982
402,27,4,140,86,2790,15.6,1982
403,44,4,97,52,2130,24.6,1982
404,32,4,135,84,2295,11.6,1982
405,28,4,120,79,2625,18.6,1982
406,31,4,119,82,2720,19.4,1982
